Country,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Comoros,COM,0.010992,0.010992,0.010992,0.010992,0.010992,0.014656,0.01832,0.01832,0.01832,0.01832,0.029312,0.029312,0.029312,0.029312,0.029312,0.032976,0.040304,0.040304,0.029312,0.021984,0.047632,0.047632,0.047632,0.047632,0.047632,0.05496,0.051296,0.058624,0.062288,0.062288,0.076944,0.076944,0.076944,0.076944,0.076944,0.080608,0.065952,0.065952,0.07328,0.080608,0.084272,0.087936,0.0916,0.098928,0.10259,0.10992,0.12091,0.11725,0.12091,0.12091,0.1319,0.15755,0.16926,0.1746,0.17964
Congo,COG,0.2235,0.26747,0.23816,0.2345,0.26747,0.24549,0.30778,0.32243,0.45067,0.50197,0.57158,0.68517,0.66318,1.2201,1.6232,1.0992,1.2348,0.47998,0.32243,0.34808,0.4067,0.47266,1.3447,1.1432,1.1395,1.2787,1.0662,1.3227,1.4986,1.5059,1.1871,1.2641,1.5719,1.5425,2.1471,1.5645,1.7148,2.3413,0.77677,0.82074,1.0479,0.76578,0.57525,0.916,0.94898,1.2384,1.1175,1.2128,1.308,1.7038,1.9236,2.246,2.4621,2.5041,2.5555
Cook Islands,COK,,,,,,,,,,0.010992,0.010992,0.010992,0.010992,0.010992,0.010992,0.014656,0.014656,0.029312,0.029312,0.025648,0.029312,0.065952,0.051296,0.051296,0.021984,0.021984,0.021984,0.021984,0.021984,0.021984,0.021984,0.021984,0.021984,0.021984,0.021984,0.021984,0.021984,0.021984,0.021984,0.029312,0.029312,0.032976,0.029312,0.032976,0.05496,0.062288,0.065952,0.065952,0.069616,0.069616,0.069616,0.069616,0.072082,0.072722,0.075401
Costa Rica,CRI,0.49098,0.49098,0.5496,0.6009,0.67418,0.84638,0.99294,0.8757,1.0369,1.1468,1.2494,1.5279,1.7624,2.0445,1.9053,2.0372,2.0848,2.6124,2.9202,2.792,2.4622,2.2497,2.0848,2.1031,2.0005,2.2644,2.6051,2.7553,2.9385,2.9715,2.9532,3.3342,3.7886,3.9498,5.2652,4.8621,4.7449,4.983,5.3128,5.518,5.4704,5.7561,6.3204,6.6208,6.925,6.8627,7.0935,8.1158,8.3209,7.5955,7.5625,7.8373,7.7783,7.698,7.791
C̫te d'Ivoire,CIV,0.46166,0.55326,0.58624,0.62288,0.76211,1.1725,1.2934,1.4876,1.7624,2.0848,2.4402,2.704,3.0118,3.206,3.5577,3.9864,3.9608,4.0524,4.8145,5.4191,6.2178,4.4628,6.1042,4.8365,5.4007,7.3207,5.9613,7.6761,9.1527,8.5151,5.7928,5.6316,4.6203,5.888,5.2468,7.1265,8.3722,8.1671,6.9066,6.2618,6.7857,7.72,7.2804,5.4557,7.6578,7.819,6.9909,6.8773,6.8663,5.8514,5.8807,6.4413,6.817,6.6872,6.6883
Croatia,HRV,6.5551,6.8709,7.0508,7.8437,8.8866,9.1433,9.0603,9.1516,9.788,10.1484,13.2619,14.2931,13.3965,16.0033,16.0733,16.7715,17.3104,16.834,18.8119,20.4616,20.1204,21.8972,20.117,21.6624,22.8446,23.3032,24.3372,24.1841,25.0292,24.9743,23.3396,17.3614,16.7148,17.1705,16.4983,17.2138,17.8454,18.9386,19.634,20.5453,20.0995,21.0408,22.1109,23.5341,23.1594,23.5014,23.7339,25.0183,23.7707,21.9911,21.3304,20.918,19.2332,18.8458,18.5622
Cuba,CUB,13.6887,12.1718,14.1577,13.0292,14.2823,14.5974,15.1726,15.7369,16.0227,17.2464,18.6571,19.5914,20.7822,22.3797,22.8927,27.044,27.2015,29.378,30.664,31.6863,31.3748,32.7232,34.5259,30.8179,32.5766,32.551,33.5403,33.925,35.6068,35.7093,33.467,29.6308,31.3602,29.356,32.2212,25.6883,26.9744,24.6294,24.4792,25.3109,26.062,25.4318,26.0694,25.4648,24.9848,25.9851,27.3847,26.7728,30.4185,29.8726,38.3291,35.8925,36.2106,36.1044,36.52
Cyprus,CYP,0.88669,0.8647,0.90501,0.98562,1.0003,1.1505,1.2421,1.363,1.6232,1.6708,1.7038,1.8833,2.4036,2.4988,1.9236,1.9786,2.4622,2.6674,2.8066,3.0008,3.206,3.0448,3.0997,3.0961,3.1804,3.0997,3.5431,4.1183,4.1257,4.3382,4.6269,5.0702,5.4132,5.6755,5.9149,5.7767,6.1206,6.2216,6.5168,6.7867,7.038,6.9069,7.1029,7.484,7.713,7.8579,8.0362,8.3109,8.4741,8.2033,7.8318,7.5662,7.0828,7.0807,7.1151
Czech Republic,CZE,99.1503,107.614,114.6801,120.6347,125.5473,122.3325,121.6434,121.3905,127.0033,134.828,154.5814,162.1809,163.6953,164.39,166.3239,174.0541,180.859,186.3023,188.0334,183.168,185.352,183.3736,181.6092,181.8982,188.0584,185.5243,186.8358,185.3743,182.4317,176.4465,164.6942,154.1803,139.8166,135.7645,126.7546,128.909,133.2354,129.7128,123.1571,116.2794,126.1298,126.1126,123.1717,126.5996,127.5706,126.1558,126.958,127.2372,121.7315,114.4719,117.1411,115.0693,111.3019,106.9562,105.2679
Democratic Republic of the Congo,COD,2.3193,2.356,2.1728,2.2937,1.9749,2.4695,2.4036,2.29,3.3672,3.6493,2.7114,2.9605,3.0191,3.1913,3.3672,3.2353,3.4112,3.4845,3.5358,3.7519,3.4991,3.7739,3.0704,4.0231,3.9608,3.6384,3.3745,3.8509,4.0157,4.3895,4.067,3.7519,3.6164,3.4075,2.4769,2.9642,3.2463,2.9239,2.5318,2.246,1.6451,1.6635,1.7807,1.8613,2.1361,2.4842,2.6381,2.8286,2.9898,2.9092,3.25,3.4222,3.4415,3.7774,3.9687
Denmark,DNK,29.7553,31.7083,36.8965,40.6741,43.1546,44.3014,50.0869,49.0353,53.2819,59.3531,62.0498,57.0155,59.595,59.2176,55.0333,55.7331,60.0859,61.797,61.0679,62.9475,60.3204,51.7467,53.652,50.1345,50.8197,60.0236,58.8548,58.2942,55.0626,48.7459,53.5326,64.2135,58.4829,60.7447,64.6937,61.5221,74.9113,65.5902,61.4719,58.8768,54.613,56.2237,55.8004,60.9878,55.5047,51.8644,59.8417,55.0638,51.601,49.1719,49.5807,44.7519,39.9846,41.9497,38.3058
Djibouti,DJI,0.040304,0.043968,0.047632,0.065952,0.084272,0.12091,0.13923,0.087936,0.12091,0.084272,0.13923,0.16122,0.19053,0.17954,0.19419,0.19786,0.19786,0.19786,0.20152,0.36274,0.34808,0.30045,0.34808,0.34808,0.35174,0.35907,0.37739,0.38838,0.35541,0.39571,0.37739,0.38106,0.39205,0.4067,0.40304,0.39938,0.4067,0.3664,0.39205,0.42136,0.36274,0.3261,0.4067,0.42869,0.41037,0.42136,0.4177,0.46166,0.4983,0.46166,0.51662,0.47266,0.50777,0.5238,0.53892
Dominica,DMA,0.010992,0.010992,0.010992,0.014656,0.014656,0.014656,0.014656,0.021984,0.021984,0.01832,0.025648,0.025648,0.025648,0.025648,0.029312,0.029312,0.029312,0.025648,0.025648,0.032976,0.03664,0.03664,0.040304,0.040304,0.043968,0.047632,0.047632,0.047632,0.05496,0.058624,0.058624,0.058624,0.058624,0.062288,0.069616,0.080608,0.07328,0.080608,0.076944,0.080608,0.10259,0.11358,0.10259,0.11358,0.10992,0.11358,0.10992,0.15022,0.12824,0.12824,0.13557,0.12458,0.12411,0.12255,0.12411
Dominican Republic,DOM,1.0406,1.0296,1.2421,1.2494,1.7477,1.5462,1.6708,1.5682,2.3486,2.6527,3.1071,3.5211,4.6716,5.9613,6.412,6.3351,6.3277,5.6096,5.4447,6.804,6.4523,6.1628,6.3351,7.9069,7.4379,7.2877,8.1744,9.7462,9.8268,10.3581,9.2223,10.0357,10.9151,11.7541,12.4649,15.8724,17.3124,17.9866,18.3823,18.5472,19.7746,19.8003,21.3135,21.4967,18.2944,18.6241,19.694,21.2842,21.3978,20.5294,21.3465,21.8704,22.483,22.6625,22.9706
Ecuador,ECU,1.7624,1.6451,1.5645,1.7954,2.1434,2.2753,2.4182,2.5904,3.1144,3.5907,4.2796,4.2209,4.591,5.2578,6.0859,7.3573,8.1048,7.4782,10.4168,12.1572,13.4322,16.6785,19.2726,19.5401,21.2402,19.4155,15.2642,15.103,17.2574,20.2509,16.8214,16.4733,22.2844,24.1677,13.6264,22.7937,23.871,18.2614,22.2112,21.2549,20.9251,23.4276,24.6697,26.5017,28.6342,29.8836,28.8357,31.2832,29.803,34.5735,34.2218,35.6984,37.0677,38.857,40.5105
Egypt,EGY,16.041,17.0742,18.5801,21.537,25.5014,27.6192,26.542,19.661,22.8853,19.6793,21.6689,23.0282,25.4904,23.7757,26.1023,31.0744,34.4672,37.8345,39.2817,42.9128,45.2028,50.9369,56.4769,57.0448,63.7866,63.8855,74.5038,74.7493,74.4708,72.1222,75.8814,78.6514,81.1979,93.0803,85.243,95.6451,101.9471,108.1136,122.1431,125.2905,141.2106,125.3491,127.0895,147.8424,150.7883,167.0711,178.4698,193.1844,196.6359,197.9073,204.5098,220.6094,236.6715,231.0368,237.446
El Salvador,SLV,0.61922,0.58258,0.64853,1.1248,1.2311,1.0406,1.3044,1.1578,1.2604,1.1908,1.429,1.5096,1.6781,1.9676,1.9712,2.1068,2.2094,2.2863,2.3889,2.3889,2.1324,1.832,1.766,1.9016,1.6048,1.9859,1.9896,2.4476,2.4695,2.5868,2.6161,3.228,3.4258,3.8875,4.4261,5.2762,4.8914,5.7561,5.8074,5.6939,5.7378,5.943,6.0346,6.5476,6.3607,6.4486,6.8407,6.9726,6.5402,6.4376,6.3021,6.6795,6.6931,6.6169,6.6928
Equatorial Guinea,GNO,0.021984,0.021984,0.021984,0.025648,0.025648,0.029312,0.025648,0.025648,0.029312,0.043968,0.03664,0.065952,0.087936,0.029312,0.051296,0.062288,0.062288,0.062288,0.069616,0.062288,0.058624,0.069616,0.07328,0.062288,0.080608,0.065952,0.080608,0.098928,0.10626,0.11725,0.12091,0.20152,0.21618,0.10259,0.03664,0.1319,0.11725,0.29312,0.16854,0.47266,0.45434,3.0924,4.9757,6.0126,5.2139,4.7082,4.7485,4.7925,4.4994,4.6166,4.6753,6.6831,6.9323,6.6382,6.5201
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2235,0.29312,0.34075,0.52762,0.5899,0.61922,0.60822,0.63021,0.60456,0.72547,0.76944,0.76578,0.56059,0.57891,0.41403,0.51296,0.51296,0.52029,0.55731,0.5742,0.59015
Estonia,EST,9.8134,10.1203,10.6217,11.3911,12.1144,12.8511,13.5715,14.191,14.5897,15.1942,15.9814,16.9623,17.8498,18.6072,19.3194,20.3113,21.0949,21.8141,22.5644,22.7522,23.649,23.2022,23.6409,23.9798,24.1957,26.0943,26.1656,27.2679,28.0173,27.4304,36.7008,33.6955,24.2086,18.8011,19.6649,17.9978,18.7082,18.2538,16.6752,15.5232,15.1491,15.5035,15.0094,16.8364,17.0842,16.4217,15.8431,18.8735,17.3656,14.158,17.8033,18.4272,17.0793,17.5945,16.4024
Ethiopia,ETH,0.35174,0.34075,0.39571,0.42136,0.4067,0.64486,0.8244,1.0736,1.7257,1.6671,1.6525,1.8503,1.407,1.7514,1.7367,1.2091,1.1761,1.0479,1.3703,1.8467,1.821,1.865,1.4803,1.843,1.6635,1.8137,2.2131,2.5795,2.6711,2.8249,3.0155,2.9825,2.9642,3.0265,2.9459,2.1434,3.7409,4.2686,5.0197,5.06,5.8148,4.3052,4.4774,4.9427,5.2395,5.049,5.4154,5.91,6.3644,6.5549,6.6135,7.5368,7.7675,7.9554,8.1329
Faeroe Islands,FRO,0.058624,0.11358,0.11725,0.12458,0.12091,0.13557,0.13923,0.16854,0.1832,0.21251,0.25648,0.26014,0.2345,0.25282,0.30045,0.34808,0.32976,0.4067,0.39938,0.47998,0.42136,0.43968,0.458,0.48731,0.4983,0.51662,0.49098,0.4983,0.52762,0.57891,0.62288,0.59357,0.60456,0.66685,0.58624,0.68883,0.60822,0.59357,0.63021,0.63754,0.68883,0.76211,0.7328,0.74746,0.76578,0.72181,0.67784,0.68883,0.63021,0.57525,0.63021,0.56792,0.54354,0.5434,0.54626
Falkland Islands (Malvinas),FLK,0.19419,0.15389,0.047632,0.047632,0.010992,0.010992,0.010992,0.01832,,,0.010992,0.010992,0.010992,0.014656,0.014656,0.014656,0.014656,0.014656,0.014656,0.014656,0.014656,0.025648,0.021984,0.021984,0.025648,0.029312,0.032976,0.03664,0.040304,0.040304,0.03664,0.03664,0.03664,0.03664,0.03664,0.040304,0.043968,0.047632,0.03664,0.03664,0.03664,0.043968,0.043968,0.047632,0.051296,0.051296,0.058624,0.058624,0.058624,0.058624,0.05496,0.05496,0.055579,0.05527,0.056207
Fiji,FJI,0.19419,0.16854,0.23083,0.24182,0.42502,0.34442,0.32243,0.35541,0.39571,0.43235,0.52029,0.5496,0.57891,0.63021,0.67051,0.62288,0.48365,0.76578,0.71082,0.83906,0.79509,1.0809,0.83906,0.71448,0.58258,0.57891,0.60456,0.47632,0.55326,0.63021,0.81707,0.67418,0.72181,0.76211,0.81707,0.86837,0.89402,0.73646,0.70349,0.80242,0.8647,1.1139,0.83539,0.86104,1.1322,1.363,1.3593,1.2018,1.0772,0.84638,1.2934,1.2348,1.2764,1.2872,1.3325
Finland,FIN,15.092,14.9271,16.7958,19.3423,22.834,25.3072,29.4952,28.5939,33.2874,37.9041,40.3626,40.5495,44.1256,49.3468,46.6427,46.0638,51.2374,50.1785,51.8712,54.2895,58.199,51.4682,43.0483,41.5424,42.2203,49.6252,53.2856,57.6091,52.1424,52.5418,56.6442,55.0656,54.215,56.124,61.4198,57.8963,63.6992,62.3554,59.0755,58.6573,56.8295,62.0677,64.575,72.3657,68.4859,56.5324,67.9432,66.2433,57.9931,55.0667,63.4883,56.4033,50.7333,50.8102,47.2822
France,FRA,270.9968,280.9812,298.4621,333.7464,345.0206,351.5645,346.9515,371.7055,384.317,412.9218,438.6541,462.056,480.3357,516.177,498.6631,446.5537,505.1887,480.464,505.4451,528.7225,504.9505,454.3287,436.5363,422.2577,405.0112,400.5521,385.2989,377.1832,371.9033,390.3296,396.4415,420.6197,410.4197,388.7382,388.9045,395.4621,408.3029,401.8417,423.4024,414.9759,411.7564,412.7951,408.2493,416.6975,418.4082,421.6852,412.2395,402.9344,396.3759,377.5979,386.1138,359.6137,363.3447,365.1873,331.0109
French Guiana,GUF,0.021984,0.021984,0.021984,0.025648,0.029312,0.03664,0.043968,0.069616,0.084272,0.084272,0.10259,0.10259,0.10259,0.11725,0.10259,0.11725,0.2748,0.34075,0.32976,0.54594,0.37373,0.3261,0.36274,0.38472,0.35541,0.3664,0.3664,0.4177,0.51662,0.67051,0.81341,0.83906,0.87936,0.8757,0.89402,0.90867,0.90501,0.89768,0.83906,0.67051,0.57158,0.63021,0.56059,0.7328,0.69616,0.65952,0.57525,0.67784,0.6925,0.69982,0.69982,0.71814,0.71465,0.70602,0.71461
French Polynesia,PYF,0.03664,0.058624,0.047632,0.065952,0.065952,0.084272,0.12091,0.13923,0.15389,0.16122,0.19419,0.22717,0.21618,0.20885,0.21618,0.21251,0.26381,0.2748,0.31144,0.28213,0.29312,0.32976,0.33709,0.42136,0.458,0.58624,0.60456,0.60822,0.57158,0.60822,0.63021,0.63754,0.64486,0.61555,0.53861,0.57158,0.57891,0.59723,0.59357,0.58258,0.63021,0.73646,0.73646,0.79875,0.78776,0.85005,0.85005,0.84272,0.86837,0.87203,0.88302,0.85738,0.88774,0.89562,0.92862
Gabon,GAB,0.1319,0.16488,0.087936,0.07328,0.19053,0.21618,0.38106,1.0113,1.9602,1.4326,2.0812,2.8433,2.737,5.3091,5.4484,5.3641,5.7048,6.3094,7.5552,6.7491,6.6282,6.5696,6.5512,5.5143,5.9906,6.3131,4.9647,4.0194,4.3308,5.7671,4.8401,1.4766,2.1288,3.2793,3.3489,3.8545,3.5321,3.5431,1.6305,1.4363,1.0516,1.7807,1.777,1.44,1.8503,2.1728,2.0812,1.9896,2.0555,2.1434,2.2424,2.235,2.3973,2.4331,2.4802
Gambia,GMB,0.01832,0.021984,0.025648,0.029312,0.029312,0.029312,0.032976,0.032976,0.03664,0.047632,0.047632,0.05496,0.065952,0.062288,0.062288,0.098928,0.098928,0.11358,0.13923,0.14656,0.15755,0.15755,0.16122,0.16122,0.17221,0.17221,0.16122,0.17954,0.1832,0.17954,0.19053,0.19786,0.19786,0.20885,0.20885,0.21618,0.21618,0.21618,0.2345,0.25648,0.2748,0.28213,0.3151,0.3151,0.32243,0.32243,0.33709,0.39571,0.41037,0.43602,0.47266,0.42136,0.45259,0.46646,0.4797
Georgia,GEO,6.5444,6.749,7.0834,7.5965,8.0789,8.5701,9.0505,9.4637,9.7296,10.1327,10.6577,11.3118,11.9037,12.4087,12.8837,13.5452,14.0677,14.5474,15.0477,15.1729,15.771,15.4731,15.7656,15.9917,16.1356,17.4018,17.4493,18.1844,18.6842,18.2928,17.1512,16.5314,15.3228,9.9441,6.0786,2.301,4.0634,4.4334,4.9574,4.3418,4.5324,3.7666,3.3855,3.7703,4.3199,5.0636,6.1445,6.4157,6.412,6.2654,6.5256,7.9252,7.6878,7.4321,7.2746
Germany,DEU,814.0712,834.9706,883.3061,945.6381,969.0767,960.2648,951.5884,936.3865,984.9565,1052.1726,1026.2095,1037.6558,1042.1515,1086.6142,1063.7288,1003.6026,1092.2714,1054.2024,1081.0192,1120.0518,1102.3181,1050.8279,1018.123,1014.2062,1035.9154,1046.7498,1050.3589,1035.4317,1032.266,1016.3533,1042.0657,1004.7353,957.5618,948.684,932.4852,930.857,951.8635,923.0802,915.1765,887.8907,891.5155,907.542,890.8759,893.5999,881.7434,861.7334,873.2466,848.5489,851.1115,785.6026,829.4015,810.4411,821.7177,841.1278,789.4155
Ghana,GHA,1.4619,1.3447,1.4326,1.7221,1.6488,1.7038,1.44,1.4949,1.7624,1.6891,2.6234,2.2937,2.4219,2.4732,2.9349,2.7443,2.4329,3.0008,2.9678,2.6564,2.5575,3.0448,3.0411,3.653,2.5795,3.3232,3.0448,3.2829,3.4478,3.3416,3.9278,4.0414,4.0927,4.6606,5.0673,5.4227,5.7525,6.39,6.3973,6.5439,6.2838,6.914,7.4159,7.6248,7.3427,6.9872,9.3505,9.8195,9.1307,7.7017,10.0943,10.0723,10.9417,11.0511,11.2197
Gibraltar,GIB,0.047632,0.051296,0.05496,0.05496,0.05496,0.047632,0.05496,0.062288,0.065952,0.065952,0.069616,0.080608,0.07328,0.084272,0.076944,0.087936,0.076944,0.076944,0.069616,0.0916,0.087936,0.051296,0.021984,0.03664,0.032976,0.043968,0.040304,0.047632,0.069616,0.069616,0.095264,0.10626,0.0916,0.33342,0.39938,0.34808,0.19419,0.12091,0.31144,0.32243,0.33342,0.34442,0.34442,0.35541,0.3664,0.38838,0.42136,0.4177,0.42502,0.46533,0.47266,0.45434,0.43483,0.43472,0.43701
Greece,GRC,9.3982,9.8159,10.1566,12.2488,13.2124,17.012,18.6351,19.5181,22.3028,25.4538,24.1458,27.7914,31.547,37.2262,36.1893,38.8421,42.8761,46.9615,48.0424,51.252,51.3876,50.6804,52.1057,55.4986,57.0082,60.5513,59.082,63.4202,67.9342,74.1227,82.9978,82.7681,84.4367,83.7423,85.9972,86.4417,88.5265,93.3076,98.2055,97.4941,102.5716,104.9757,104.7143,108.7888,109.1127,112.8944,111.3835,113.8486,110.0054,103.7126,96.7583,94.2507,90.4724,81.5188,76.218
Greenland,GRL,0.2235,0.29312,0.26381,0.32976,0.3151,0.34442,0.38838,0.4177,0.54227,0.4067,0.38106,0.46899,0.55326,0.55693,0.55693,0.50563,0.21984,0.72181,0.39205,0.57158,0.56426,0.52762,0.51662,0.36274,0.56792,0.5093,0.3261,0.2345,0.54594,0.47266,0.55693,0.5496,0.48365,0.50197,0.50563,0.50563,0.51662,0.52395,0.53128,0.54227,0.53128,0.53861,0.53861,0.53128,0.58258,0.60822,0.62654,0.63754,0.65952,0.57525,0.66318,0.70715,0.70453,0.69567,0.7045
Grenada,GRD,0.021984,0.01832,0.025648,0.014656,0.021984,0.021984,0.029312,0.03664,0.040304,0.047632,0.043968,0.047632,0.047632,0.05496,0.03664,0.047632,0.047632,0.047632,0.051296,0.047632,0.047632,0.058624,0.062288,0.062288,0.062288,0.062288,0.065952,0.07328,0.095264,0.10259,0.10992,0.11358,0.12091,0.12458,0.1429,0.15389,0.15755,0.17221,0.17587,0.19419,0.19053,0.19419,0.20518,0.21618,0.20518,0.21618,0.23083,0.23816,0.26014,0.25282,0.26014,0.25282,0.25188,0.24871,0.25187
Guadeloupe,GLP,0.15755,0.17587,0.18686,0.20518,0.21618,0.20518,0.25282,0.28946,0.27846,0.31144,0.30411,0.34075,0.37739,0.4067,0.38472,0.40304,0.49464,0.52395,0.52762,0.53861,0.62654,0.78776,0.76211,0.81341,0.8757,0.89035,0.94898,1.0113,1.1285,1.1871,1.2934,1.3593,1.4253,1.4509,1.4949,1.5169,1.5242,1.5425,1.5242,1.5865,2.0738,2.0921,2.0262,2.0445,1.832,1.7148,1.7074,1.7404,1.7367,1.7367,1.7367,1.7734,1.7672,1.7464,1.7671
Guatemala,GTM,1.3447,1.407,1.3813,1.5206,1.7697,1.9749,1.7404,1.9822,2.1398,2.279,2.2973,2.4402,2.7077,2.9349,3.0668,3.5211,3.3086,3.8106,4.1257,4.6899,4.5067,3.9644,3.6237,3.1767,3.4185,3.5211,3.697,3.9901,4.122,4.2429,5.082,5.049,6.0126,5.6536,6.8334,7.1595,6.6465,7.5918,8.746,8.9218,9.9075,10.6183,11.0873,10.4937,11.6112,12.4429,12.5162,12.6261,11.4317,12.4576,11.3584,11.2485,11.3276,11.2391,11.3987
Guinea,GIN,0.41037,0.61555,0.65952,0.69616,0.69982,0.69616,0.71814,0.72547,0.74746,0.74746,0.79142,0.81341,0.83173,0.80242,0.83906,0.84272,0.88669,0.90134,0.90134,0.94531,0.96363,0.98928,0.98195,0.95264,0.97829,0.99294,0.99661,0.99294,1.0259,1.0442,1.0552,1.0736,1.0736,1.1029,1.2274,1.2494,1.2714,1.2787,1.2421,1.2714,1.2787,1.2971,1.3227,1.341,1.341,1.1798,1.1798,1.2091,1.9969,2.1068,2.4842,2.5941,2.7868,2.8748,2.9578
Guinea-Bissau,GNB,0.01832,0.029312,0.040304,0.047632,0.058624,0.065952,0.065952,0.047632,0.062288,0.058624,0.069616,0.07328,0.065952,0.10992,0.10259,0.11358,0.095264,0.10259,0.10259,0.10992,0.14656,0.1429,0.1429,0.1429,0.16122,0.17221,0.1832,0.19419,0.21618,0.23083,0.25282,0.25648,0.26014,0.27846,0.27846,0.28213,0.28579,0.26381,0.17221,0.19419,0.14656,0.15022,0.15389,0.19419,0.20152,0.21251,0.21618,0.23083,0.22717,0.2345,0.23816,0.24549,0.26373,0.27205,0.27991
Guyana,GUY,0.65952,0.73646,0.67784,0.61555,0.64853,1.0772,1.1798,1.3227,1.33,1.3667,1.5792,1.4986,1.5609,1.8027,1.5535,1.8247,1.7514,1.898,2.0555,1.5206,1.788,1.799,1.4033,1.2458,1.4033,1.418,1.0442,1.308,1.4033,1.1945,1.1395,1.1212,1.0516,1.0516,1.3923,1.4729,1.5279,1.5975,1.6561,1.6781,1.6085,1.5938,1.5792,1.5645,1.6268,1.4363,1.2897,1.5609,1.5572,1.5645,1.7184,1.7807,1.7741,1.7518,1.774
